,DEPOIS,status
836,034527,
837,034523,
838,034525,
839,034637,
840,034638,
841,034639,
842,034640,
843,033558,
844,032480,
845,025656,
846,034641,
847,034660,
848,034661,
849,034662,
850,034663,
851,034664,
852,034665,
853,034666,
854,034669,
855,034521,
856,034667,
857,034668,
858,479500,
859,463371,
860,034530,
861,034569,
862,034498,
863,034570,
864,034677,
865,034676,
866,034691,
867,034693,
868,034694,
869,034659,
870,034658,
871,034680,
872,034578,
873,034713,
874,034715,
875,034697,
876,034698,
877,034699,
878,034700,
879,034745,
880,034746,
881,034747,
882,034748,
883,025844,
884,034782,
885,034741,
886,034781,
887,034675,
888,034799,
889,025709,
890,034718,
891,034719,
892,034720,
893,034791,
894,034792,
895,034793,
896,034794,
897,031868,
898,426337,
899,025195,
900,032828,
901,032813,
902,034734,
903,034736,
904,034770,
905,033356,
906,034764,
907,034765,
908,034766,
909,460758,
910,034767,
911,025739PL,
912,029965,
913,032833,
914,032834,
915,032835,
916,032906,
917,032907,
918,033436,
919,025196,
920,034772,
921,032807,
922,032874,
923,032878,
924,033246,
925,032981,
926,034771,
927,034773,
928,034774,
929,032832,
930,032839,
931,033361,
932,033362,
933,033363,
934,033364,
935,033365,
936,033535,
937,448278,
938,033360,
939,033366,
940,034230,
941,034721,
942,034787,
943,034785,
944,034786,
945,034814,
946,032873,
947,032875,
948,032877,
949,032872,
950,025745,
951,466633,
952,034819,
953,034820,
954,032013,
955,034678,
956,034826,
957,034818,
958,033377,
959,030918,
960,470004,
961,014436,
962,034822,
963,034824,
964,034825,
965,034821,
966,034827,
967,029499,
968,034751,
969,034829,
970,032838,
971,034834,
972,034835,
973,034836,
974,034842,
975,459549,
976,034844,
977,034858,
978,034859,
979,034225,
980,034563,
981,032860,
982,034226,
983,034227,
984,034231,
985,034223,
986,034854,
987,034860,
988,034861,
989,479639,
990,034109,
991,026011,
992,026010,
993,026018,
994,033881,
995,033882,
996,034867,
997,034871,
998,034872,
999,034228,
1000,418894A,
1001,032970,
1002,033132,
1003,032973,
1004,033742,
1005,425795,
1006,033679,ok
1007,415005,ok
1008,466633,ok
1009,033839,ok
1010,033843,ok
1011,033846,ok
1012,450819,ok
1013,030503,ok
1014,900083,
1015,900084,
1016,030469,ok
1017,014527,ok
1018,496935AE,
1019,031225LA,
1020,496935,ok
1021,031225PL,
1022,031081,ok
1023,033063,ok
1024,033784,ok
1025,034378,ok
1026,034020,ok
1027,034898,
1028,025561,ok
1029,025566,ok
1030,025830,
1031,032100,ok
1032,032712,ok
1033,032718,ok
1034,032719,ok
1035,032713,ok
1036,025125,ok
1037,025821,ok
1038,414876,ok
1039,025829,ok
1040,032991,ok
1041,032989,ok
1042,032990,ok
1043,034940,ok
1044,034941,ok
1045,034921,ok
1046,032101,ok
1047,033949,ok
1048,034935,ok
1049,034923,ok
1050,900103,
1051,034920,ok
1052,032103,ok
1053,032102,ok
1054,412661,ok
1055,034952,ok
1056,026871,ok
1057,450856,ok
1058,034922,ok
1059,034916,ok
1060,034924,ok
1061,034925,ok
1062,028795,ok
1063,032710,ok
1064,032711,ok
1065,032706,ok
1066,032707,ok
1067,032708,ok
1068,032714,ok
1069,032709,ok
1070,034936,ok
1071,034932,ok
1072,034957,ok
1073,034949,ok
1074,034906,ok
1075,034908,ok
1076,026797,ok
1077,033962,ok
1078,033964,ok
1079,025103,ok
1080,025810,ok
1081,025813,ok
1082,032406,ok
1083,034950,ok
1084,900145,
1085,900146,
1086,900147,
1087,900148,
1088,034977,ok
1089,034976,ok
1090,034985,ok
1091,034984,ok
1092,034986,ok
1093,025820,ok
1094,025579,ok
1095,034980,ok
1096,029620,ok
1097,027665,ok
1098,027682,ok
1099,034992,ok
1100,034993,ok
1101,034991,ok
1102,900070,
1103,900071,
1104,900072,
1105,900073,
1106,900074,
1107,032104,ok
1108,032105,ok
1109,032983,ok
1110,420062,ok
1111,422198,ok
1112,032542,ok
1113,034885,ok
1114,032988,ok
1115,026851,ok
1116,900150,erro
1117,900162,
1118,030117,ok
1119,030116,ok
1120,030115,ok
1121,415017,ok
1122,027761,ok
1123,029091,ok
1124,027585,ok
1125,035007,ok
1126,035004,ok
1127,034999,ok
1128,032352,ok
1129,035008,ok
1130,035010,ok
1131,035011,ok
1132,035012,ok
1133,035013,ok
1134,035023,ok
1135,035024,ok
1136,035027,ok
1137,035018,ok
1138,035034,ok
1139,035026,ok
1140,035028,ok
1141,035029,ok
1142,035030,ok
1143,035031,ok
1144,035032,ok
1145,035033,ok
1146,035009,ok
1147,035014,ok
1148,034996,ok
1149,035017,ok
1150,035039,ok
1151,035038,ok
