,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
77,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,31.33,KG,174.58,030553 - CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 6
78,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,73.19,KG,421.93,450832 - PISO DIREITO - PLATAF (6000) CBHM
79,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,50.33,KG,290.15,018181 - PISO ESQUERDO PLATAF (6000) CBHM
80,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,8.99,KG,51.83,"025563 - TRAVESSA SUP - FECHAMENTO DIANT - S4,0/3,2M"
81,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,5.15,KG,29.75,032806 - COMPLEMENTO DO CHAPEAM [SOBRETAMPA LAT CBH9]
82,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,1.26,KG,7.28,"031060 - FECHAMENTO DA GRADE LATERAL - ALT 45 - S3,20/4,00MD"
83,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.1,KG,0.58,457656 - REFORCO TUBO-CHASSI/TANQ FT5
84,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.3,KG,1.73,481713 - REFORCO LIM GIRO - 5a RODA (M98) F4/6
85,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,31.78,KG,177.08,"013201 - CHAPEAM TAMPA TRAS 1,10m (5000) CBHM"
86,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,40.87,KG,235.61,030339 - PISO ESQ PLATAF M17 (3500/5000/8000) CBHM
87,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,16.04,KG,89.38,460394 - CHAP GRADE DIANT 45 CM (5000) CBH
88,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,0.13,KG,0.77,027757 - CHAPA OLHAL FUSO - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
89,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,0.3,KG,1.78,027666 - CHAPA INFERIOR COMPLEMENTO LATERAL - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
90,120054,"CHAPA GQ 5/8 (15,8) 1010",Nacional - 0,0.84,KG,5.29,027756 - CHAPA DE FECHAMENTO FUSO - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
91,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,47.79,KG,277.08,029669 - LONGARINA - CHASSI CARRETA ER6
92,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,3.77,KG,10.64,029988 - TRANSV SUPORTE - 5ª RODA - CARRETAS ER6/ER4
93,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,6.21,KG,17.52,474046 - LONG 5 RODA - 5 RODA U4
94,120303,"CHAPA FQ 3/16 (1,20 x 6,00m) 1010",Nacional - 0,1.06,KG,6.8,032218 - CANTONEIRA SUPERIOR [ESTICADOR - MCF]
95,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.22,KG,0.62,029066 - CANTONEIRA EXTERNA 2X3 - ESTEIRA MOVEL - MÁQ P/ COLHEITA DE FRUTAS
96,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.09,KG,0.25,030280 - REFORÇO EST MÓVEL - EST MOVEL - MÁQ P/ COLHEITA DE FRUTAS
97,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.69,KG,1.95,027032 - SUPORTE DO SOMBRITE _ MÁQUINA P/ COLHEITA DE FRUTAS
98,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.24,KG,0.68,028074 - FECHAMENTO ENCAIXE MENOR - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
99,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.04,KG,0.23,032221 - REFORÇO [ESTICADOR - MCF]
100,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,1.04,KG,6.05,027477 - APOIO EXTERNO DA RODA - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
101,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.31,KG,1.81,028073 - FECHAMENTO ENCAIXE MAIOR - ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
102,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,4.95,KG,28.82,034204 - COMPLEMENTO [FUEIRO CENTRAL - CBH9]
103,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.39,KG,2.27,025740 - FECHAM. TRANSV. SUPORTE BALANCIM - CHASSI F6SS M14
104,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.46,KG,2.68,030589 - PROTEÇÃO DO MACACO- CHASSI CBH/CBHM M17
105,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,8.94,KG,52.11,031226 - COLUNA TAMPA TRASEIRA - CBH (ABERT. LATERAL) M18
106,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.05,KG,0.31,409820 - PRENDEDOR DO TUBO [CBH/CBHM]
107,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,49.66,KG,289.69,"030425 - LONGARINA - CHASSI SIMPLES SS - CBH 6,0T 01 EIXO"
108,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,7.33,KG,42.73,"030509 - TRANSV INTERMED TRASEIRA - CHASSI CBH 6,0 2E"
109,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.32,KG,1.87,425965 - ENGATE - GRADES CBHM
110,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,31.72,KG,89.48,"031508 - LONGARINA - CHASSI DA CAÇAMBA - CBH 6,0T 7M³"
111,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Nacional - 0,113.0,KG,663.9,"030544 - CHAPEAMENTO LATERAL [CAÇAMBA - CBH6,0 M17]"
112,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,22.77,KG,130.33,"030574 - PLACA DE APOIO M17 - CHASSI CBH 6,0 2E"
113,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,1.22,KG,6.98,025455 - TRAVA - SUP EIXO CBH-8
